Ano,Estado,Mortos,Pessoas,Acidente
2020,RN,100,2997,1336
2020,RO,82,3454,1486
2020,RR,27,611,250
2020,RS,236,10064,4175
2020,SC,382,16340,7220
2020,SE,42,1357,575
2020,SP,240,9181,4043
2020,TO,98,1462,595
2021,AC,7,215,93
2021,AL,40,516,241
2021,AM,5,111,41
2021,AP,8,185,68
2021,BA,204,3344,1377
2021,CE,76,1356,592
2021,DF,13,972,393
2021,ES,56,2505,1072
2021,GO,101,2959,1253
2021,MA,85,1030,428
2021,MG,240,7285,3267
2021,MS,51,1459,635
2021,MT,86,2022,895
2021,PA,69,902,337
2021,PB,42,1315,587
2021,PE,117,2350,972
2021,PI,49,1036,445
2021,PR,227,6431,2807
2021,RJ,125,4312,1839
2021,RN,35,1112,505
2021,RO,28,1261,533
2021,RR,6,240,106
2021,RS,134,4252,1820
2021,SC,127,7062,3167
2021,SE,13,474,219
2021,SP,73,3669,1656
2021,TO,30,495,215
